14012 0.0  ASP --> ing
1 0.0  COMP --> other
1 0.0  COMP --> then
1 0.0  COMP --> well
1 0.0  COMP --> when
1 0.0  COMP --> without
17600 0.0  COP --> 's
8668 0.0  COP --> is
3183 0.0  COP --> are
1999 0.0  COP --> was
1938 0.0  COP --> 're
1326 0.0  COP --> be
622 0.0  COP --> were
566 0.0  COP --> 'm
103 0.0  COP --> been
81 0.0  COP --> am
29 0.0  COP --> have
7 0.0  COP --> has
6 0.0  COP --> had
4 0.0  COP --> ai
3 0.0  COP --> 've
2 0.0  COP --> need
1 0.0  COP --> s
1 0.0  COP --> this
11709 0.0  DIV --> s
21695 0.0  DT --> the
15462 0.0  DT --> a
2535 0.0  DT --> that
2227 0.0  DT --> this
1576 0.0  DT --> some
1040 0.0  DT --> all
697 0.0  DT --> an
634 0.0  DT --> another
579 0.0  DT --> any
469 0.0  DT --> those
437 0.0  DT --> no
399 0.0  DT --> these
93 0.0  DT --> every
83 0.0  DT --> both
60 0.0  DT --> each
58 0.0  DT --> there
34 0.0  DT --> such
18 0.0  DT --> here
14 0.0  DT --> either
4 0.0  DT --> neither
4 0.0  DT --> one
3 0.0  DT --> de
3 0.0  DT --> dis
3 0.0  DT --> none
3 0.0  DT --> other
2 0.0  DT --> and
2 0.0  DT --> dose
2 0.0  DT --> good
2 0.0  DT --> ta
2 0.0  DT --> which
1 0.0  DT --> ail
1 0.0  DT --> anymore
1 0.0  DT --> dat
1 0.0  DT --> few
1 0.0  DT --> four
1 0.0  DT --> her
1579 0.0  EX --> there
264 0.0  EX --> here
101 0.0  EX --> it
1 0.0  EX --> this
1 0.0  EX --> well
1 0.0  FW --> grandma
1 0.0  FW --> me
6552 0.0  IN --> in
5272 0.0  IN --> on
4151 0.0  IN --> of
3306 0.0  IN --> to
3214 0.0  IN --> for
3113 0.0  IN --> with
2554 0.0  IN --> at
1631 0.0  IN --> like
1244 0.0  IN --> about
682 0.0  IN --> from
585 0.0  IN --> out
402 0.0  IN --> over
358 0.0  IN --> up
341 0.0  IN --> by
247 0.0  IN --> if
231 0.0  IN --> off
221 0.0  IN --> under
218 0.0  IN --> down
181 0.0  IN --> because
171 0.0  IN --> into
165 0.0  IN --> after
158 0.0  IN --> inside
154 0.0  IN --> than
149 0.0  IN --> around
146 0.0  IN --> through
129 0.0  IN --> as
109 0.0  IN --> behind
78 0.0  IN --> so
72 0.0  IN --> before
59 0.0  IN --> near
48 0.0  IN --> until
44 0.0  IN --> a
41 0.0  IN --> without
32 0.0  IN --> underneath
30 0.0  IN --> across
27 0.0  IN --> beside
25 0.0  IN --> besides
23 0.0  IN --> while
22 0.0  IN --> between
22 0.0  IN --> next
21 0.0  IN --> except
20 0.0  IN --> outside
16 0.0  IN --> along
15 0.0  IN --> against
14 0.0  IN --> past
14 0.0  IN --> since
12 0.0  IN --> cause
12 0.0  IN --> onto
12 0.0  IN --> toward
10 0.0  IN --> untill
9 0.0  IN --> till
8 0.0  IN --> back
7 0.0  IN --> above
7 0.0  IN --> away
7 0.0  IN --> during
7 0.0  IN --> towards
4 0.0  IN --> instead
3 0.0  IN --> it
2 0.0  IN --> but
2 0.0  IN --> per
2 0.0  IN --> round
2 0.0  IN --> then
2 0.0  IN --> though
2 0.0  IN --> til
2 0.0  IN --> unless
2 0.0  IN --> upon
1 0.0  IN --> ago
1 0.0  IN --> although
1 0.0  IN --> aroun
1 0.0  IN --> beneath
1 0.0  IN --> beyond
1 0.0  IN --> here
1 0.0  IN --> minus
1 0.0  IN --> o
1 0.0  IN --> o'
1 0.0  IN --> once
1 0.0  IN --> order
1 0.0  IN --> ta
1 0.0  IN --> that
1 0.0  IN --> too
1 0.0  IN --> top
1 0.0  IN --> upstairs
1 0.0  IN --> when
1 0.0  IN --> which
1 0.0  IN --> within
2247 0.0  JJ --> little
1797 0.0  JJ --> good
1543 0.0  JJ --> big
1443 0.0  JJ --> right
916 0.0  JJ --> nice
910 0.0  JJ --> other
489 0.0  JJ --> many
460 0.0  JJ --> funny
459 0.0  JJ --> alright
432 0.0  JJ --> new
404 0.0  JJ --> okay
379 0.0  JJ --> red
376 0.0  JJ --> last
375 0.0  JJ --> pretty
296 0.0  JJ --> hard
285 0.0  JJ --> long
272 0.0  JJ --> careful
272 0.0  JJ --> hot
256 0.0  JJ --> blue
240 0.0  JJ --> old
237 0.0  JJ --> poor
230 0.0  JJ --> sure
219 0.0  JJ --> silly
218 0.0  JJ --> cold
201 0.0  JJ --> green
187 0.0  JJ --> cute
178 0.0  JJ --> much
177 0.0  JJ --> bad
177 0.0  JJ --> dirty
176 0.0  JJ --> ready
173 0.0  JJ --> same
172 0.0  JJ --> different
170 0.0  JJ --> yellow
169 0.0  JJ --> next
162 0.0  JJ --> done
155 0.0  JJ --> happy
152 0.0  JJ --> black
143 0.0  JJ --> enough
141 0.0  JJ --> great
140 0.0  JJ --> hungry
139 0.0  JJ --> sorry
139 0.0  JJ --> wrong
135 0.0  JJ --> whole
131 0.0  JJ --> white
130 0.0  JJ --> just
124 0.0  JJ --> beautiful
116 0.0  JJ --> real
114 0.0  JJ --> wet
106 0.0  JJ --> favorite
102 0.0  JJ --> small
99 0.0  JJ --> fun
94 0.0  JJ --> soft
93 0.0  JJ --> gone
92 0.0  JJ --> sad
90 0.0  JJ --> awful
90 0.0  JJ --> pink
90 0.0  JJ --> yummy
89 0.0  JJ --> brown
89 0.0  JJ --> clean
88 0.0  JJ --> sick
85 0.0  JJ --> easy
83 0.0  JJ --> own
81 0.0  JJ --> fine
80 0.0  JJ --> baby
79 0.0  JJ --> on
78 0.0  JJ --> first
77 0.0  JJ --> tiny
76 0.0  JJ --> full
75 0.0  JJ --> orange
74 0.0  JJ --> quiet
74 0.0  JJ --> special
73 0.0  JJ --> heavy
73 0.0  JJ --> open
72 0.0  JJ --> busy
71 0.0  JJ --> crazy
71 0.0  JJ --> purple
70 0.0  JJ --> few
68 0.0  JJ --> sleepy
65 0.0  JJ --> afraid
62 0.0  JJ --> strong
62 0.0  JJ --> warm
59 0.0  JJ --> tall
58 0.0  JJ --> high
58 0.0  JJ --> only
57 0.0  JJ --> all
53 0.0  JJ --> mad
51 0.0  JJ --> back
47 0.0  JJ --> stuck
46 0.0  JJ --> welcome
45 0.0  JJ --> dark
45 0.0  JJ --> fat
45 0.0  JJ --> sticky
45 0.0  JJ --> sweet
43 0.0  JJ --> asleep
41 0.0  JJ --> delicious
41 0.0  JJ --> sharp
40 0.0  JJ --> dry
39 0.0  JJ --> straight
38 0.0  JJ --> broken
38 0.0  JJ --> fresh
38 0.0  JJ --> smart
36 0.0  JJ --> angry
36 0.0  JJ --> fast
36 0.0  JJ --> glad
36 0.0  JJ --> naughty
36 0.0  JJ --> round
36 0.0  JJ --> short
35 0.0  JJ --> left
34 0.0  JJ --> out
33 0.0  JJ --> noisy
33 0.0  JJ --> squeaky
32 0.0  JJ --> thirsty
31 0.0  JJ --> gentle
31 0.0  JJ --> tricky
29 0.0  JJ --> close
29 0.0  JJ --> loud
27 0.0  JJ --> able
27 0.0  JJ --> cool
27 0.0  JJ --> flat
27 0.0  JJ --> true
26 0.0  JJ --> late
26 0.0  JJ --> terrible
25 0.0  JJ --> alone
25 0.0  JJ --> second
24 0.0  JJ --> light
24 0.0  JJ --> lucky
24 0.0  JJ --> pretend
23 0.0  JJ --> empty
23 0.0  JJ --> some
23 0.0  JJ --> such
23 0.0  JJ --> tight
22 0.0  JJ --> yucky
21 0.0  JJ --> neat
20 0.0  JJ --> rubber
20 0.0  JJ --> up
20 0.0  JJ --> wonderful
19 0.0  JJ --> bright
19 0.0  JJ --> hurt
19 0.0  JJ --> magic
19 0.0  JJ --> off
18 0.0  JJ --> tough
17 0.0  JJ --> chinese
17 0.0  JJ --> early
17 0.0  JJ --> mean
17 0.0  JJ --> ticklish
17 0.0  JJ --> ugly
16 0.0  JJ --> cranky
16 0.0  JJ --> dangerous
16 0.0  JJ --> excellent
16 0.0  JJ --> runny
16 0.0  JJ --> stupid
15 0.0  JJ --> clever
15 0.0  JJ --> grey
15 0.0  JJ --> rough
15 0.0  JJ --> scary
15 0.0  JJ --> unhappy
14 0.0  JJ --> bottom
14 0.0  JJ --> cuddly
14 0.0  JJ --> front
14 0.0  JJ --> grape
14 0.0  JJ --> through
14 0.0  JJ --> top
13 0.0  JJ --> extra
13 0.0  JJ --> fuzzy
13 0.0  JJ --> lost
13 0.0  JJ --> low
13 0.0  JJ --> plenty
13 0.0  JJ --> sore
13 0.0  JJ --> sunny
13 0.0  JJ --> wooden
12 0.0  JJ --> color
12 0.0  JJ --> comfortable
12 0.0  JJ --> curious
12 0.0  JJ --> half
12 0.0  JJ --> important
12 0.0  JJ --> made
12 0.0  JJ --> messy
12 0.0  JJ --> middle
12 0.0  JJ --> quick
12 0.0  JJ --> slow
12 0.0  JJ --> third
12 0.0  JJ --> wild
11 0.0  JJ --> clear
11 0.0  JJ --> curly
11 0.0  JJ --> friendly
11 0.0  JJ --> handsome
11 0.0  JJ --> huge
11 0.0  JJ --> over
11 0.0  JJ --> rid
10 0.0  JJ --> another
10 0.0  JJ --> awake
10 0.0  JJ --> broke
10 0.0  JJ --> dead
10 0.0  JJ --> deep
10 0.0  JJ --> fancy
10 0.0  JJ --> lovely
10 0.0  JJ --> nasty
10 0.0  JJ --> regular
10 0.0  JJ --> safe
10 0.0  JJ --> thin
10 0.0  JJ --> young
9 0.0  JJ --> couple
9 0.0  JJ --> giant
9 0.0  JJ --> greek
9 0.0  JJ --> italian
9 0.0  JJ --> mine
9 0.0  JJ --> nervous
9 0.0  JJ --> shiny
9 0.0  JJ --> skinny
9 0.0  JJ --> stiff
9 0.0  JJ --> teeny
9 0.0  JJ --> wide
8 0.0  JJ --> alive
8 0.0  JJ --> bedtime
8 0.0  JJ --> filthy
8 0.0  JJ --> french
8 0.0  JJ --> gooey
8 0.0  JJ --> greasy
8 0.0  JJ --> itchy
8 0.0  JJ --> loose
8 0.0  JJ --> muddy
8 0.0  JJ --> plain
8 0.0  JJ --> plastic
8 0.0  JJ --> rainy
8 0.0  JJ --> serious
8 0.0  JJ --> squishy
8 0.0  JJ --> stubborn
8 0.0  JJ --> terrific
8 0.0  JJ --> upset
8 0.0  JJ --> windy
7 0.0  JJ --> alike
7 0.0  JJ --> chocolate
7 0.0  JJ --> double
7 0.0  JJ --> horrible
7 0.0  JJ --> lazy
7 0.0  JJ --> marvelous
7 0.0  JJ --> particular
7 0.0  JJ --> polar
7 0.0  JJ --> slippery
7 0.0  JJ --> sour
7 0.0  JJ --> strange
7 0.0  JJ --> tasty
7 0.0  JJ --> well
6 0.0  JJ --> backwards
6 0.0  JJ --> chewy
6 0.0  JJ --> dizzy
6 0.0  JJ --> far
6 0.0  JJ --> fifth
6 0.0  JJ --> fussy
6 0.0  JJ --> gorgeous
6 0.0  JJ --> gross
6 0.0  JJ --> grouchy
6 0.0  JJ --> homely
6 0.0  JJ --> kind
6 0.0  JJ --> medium
6 0.0  JJ --> mommy
6 0.0  JJ --> my
6 0.0  JJ --> set
6 0.0  JJ --> single
6 0.0  JJ --> smooth
6 0.0  JJ --> spicy
6 0.0  JJ --> stinky
6 0.0  JJ --> super
6 0.0  JJ --> swell
6 0.0  JJ --> very
6 0.0  JJ --> wise
6 0.0  JJ --> yum
5 0.0  JJ --> blind
5 0.0  JJ --> certain
5 0.0  JJ --> cuckoo
5 0.0  JJ --> difficult
5 0.0  JJ --> down
5 0.0  JJ --> dumb
5 0.0  JJ --> expensive
5 0.0  JJ --> fluffy
5 0.0  JJ --> foolish
5 0.0  JJ --> free
5 0.0  JJ --> grumpy
5 0.0  JJ --> handy
5 0.0  JJ --> honest
5 0.0  JJ --> indian
5 0.0  JJ --> lemon
5 0.0  JJ --> merry
5 0.0  JJ --> nursery
5 0.0  JJ --> outside
5 0.0  JJ --> perfect
5 0.0  JJ --> rosy
5 0.0  JJ --> rotten
5 0.0  JJ --> shallow
5 0.0  JJ --> shut
5 0.0  JJ --> shy
5 0.0  JJ --> toy
5 0.0  JJ --> unusual
5 0.0  JJ --> weak
5 0.0  JJ --> weird
5 0.0  JJ --> your
5 0.0  JJ --> yours
4 0.0  JJ --> barefoot
4 0.0  JJ --> bent
4 0.0  JJ --> both
4 0.0  JJ --> brave
4 0.0  JJ --> burnt
4 0.0  JJ --> darn
4 0.0  JJ --> drunk
4 0.0  JJ --> electric
4 0.0  JJ --> electrical
4 0.0  JJ --> else
4 0.0  JJ --> entire
4 0.0  JJ --> fair
4 0.0  JJ --> fantastic
4 0.0  JJ --> farm
4 0.0  JJ --> finger
4 0.0  JJ --> furry
4 0.0  JJ --> gingerbread
4 0.0  JJ --> goofy
4 0.0  JJ --> hi
4 0.0  JJ --> holy
4 0.0  JJ --> invisible
4 0.0  JJ --> jingle
4 0.0  JJ --> large
4 0.0  JJ --> live
4 0.0  JJ --> lonely
4 0.0  JJ --> mobile
4 0.0  JJ --> mother
4 0.0  JJ --> mushy
4 0.0  JJ --> noodle
4 0.0  JJ --> playful
4 0.0  JJ --> proud
4 0.0  JJ --> remote
4 0.0  JJ --> rich
4 0.0  JJ --> salty
4 0.0  JJ --> separate
4 0.0  JJ --> snap
4 0.0  JJ --> square
4 0.0  JJ --> swiss
4 0.0  JJ --> thick
4 0.0  JJ --> worth
3 0.0  JJ --> american
3 0.0  JJ --> any
3 0.0  JJ --> apple
3 0.0  JJ --> automatic
3 0.0  JJ --> awesome
3 0.0  JJ --> bald
3 0.0  JJ --> bashful
3 0.0  JJ --> better
3 0.0  JJ --> blonde
3 0.0  JJ --> bloody
3 0.0  JJ --> brother
3 0.0  JJ --> bumpy
3 0.0  JJ --> byebye
3 0.0  JJ --> church
3 0.0  JJ --> circus
3 0.0  JJ --> collie
3 0.0  JJ --> complete
3 0.0  JJ --> crumbly
3 0.0  JJ --> crummy
3 0.0  JJ --> daddy
3 0.0  JJ --> deaf
3 0.0  JJ --> delicate
3 0.0  JJ --> electronic
3 0.0  JJ --> fake
3 0.0  JJ --> familiar
3 0.0  JJ --> flipflop
3 0.0  JJ --> frozen
3 0.0  JJ --> ginger
3 0.0  JJ --> golden
3 0.0  JJ --> grabby
3 0.0  JJ --> gracious
3 0.0  JJ --> gray
3 0.0  JJ --> home
3 0.0  JJ --> huh
3 0.0  JJ --> icky
3 0.0  JJ --> in
3 0.0  JJ --> intelligent
3 0.0  JJ --> jealous
3 0.0  JJ --> jelly
3 0.0  JJ --> jolly
3 0.0  JJ --> juicy
3 0.0  JJ --> normal
3 0.0  JJ --> one
3 0.0  JJ --> patient
3 0.0  JJ --> peculiar
3 0.0  JJ --> pointy
3 0.0  JJ --> popsicle
3 0.0  JJ --> possible
3 0.0  JJ --> quite
3 0.0  JJ --> raw
3 0.0  JJ --> sandy
3 0.0  JJ --> scratchy
3 0.0  JJ --> similar
3 0.0  JJ --> still
3 0.0  JJ --> sweetie
3 0.0  JJ --> tidy
3 0.0  JJ --> tow
3 0.0  JJ --> translucent
3 0.0  JJ --> vanilla
3 0.0  JJ --> wiggly
3 0.0  JJ --> yucka
2 0.0  JJ --> abnormal
2 0.0  JJ --> adorable
2 0.0  JJ --> animal
2 0.0  JJ --> anxious
2 0.0  JJ --> ball
2 0.0  JJ --> bathtime
2 0.0  JJ --> boy
2 0.0  JJ --> brilliant
2 0.0  JJ --> brittle
2 0.0  JJ --> bullet
2 0.0  JJ --> cheap
2 0.0  JJ --> clown
2 0.0  JJ --> company
2 0.0  JJ --> consistent
2 0.0  JJ --> cooperative
2 0.0  JJ --> crinkly
2 0.0  JJ --> cutie
2 0.0  JJ --> dear
2 0.0  JJ --> definite
2 0.0  JJ --> dickory
2 0.0  JJ --> dingdong
2 0.0  JJ --> dolly
2 0.0  JJ --> drippy
2 0.0  JJ --> drooly
2 0.0  JJ --> elegant
2 0.0  JJ --> exact
2 0.0  JJ --> false
2 0.0  JJ --> fellow
2 0.0  JJ --> fish
2 0.0  JJ --> flower
2 0.0  JJ --> fourth
2 0.0  JJ --> garlic
2 0.0  JJ --> gold
2 0.0  JJ --> grand
2 0.0  JJ --> healthy
2 0.0  JJ --> helpful
2 0.0  JJ --> hers
2 0.0  JJ --> hickory
2 0.0  JJ --> hidden
2 0.0  JJ --> humid
2 0.0  JJ --> hysterical
2 0.0  JJ --> ice
2 0.0  JJ --> impatient
2 0.0  JJ --> impossible
2 0.0  JJ --> incredible
2 0.0  JJ --> itsy
2 0.0  JJ --> lady
2 0.0  JJ --> logical
2 0.0  JJ --> lousy
2 0.0  JJ --> main
2 0.0  JJ --> mexican
2 0.0  JJ --> minute
2 0.0  JJ --> moist
2 0.0  JJ --> more
2 0.0  JJ --> mutual
2 0.0  JJ --> natural
2 0.0  JJ --> near
2 0.0  JJ --> necessary
2 0.0  JJ --> ninetieth
2 0.0  JJ --> ninth
2 0.0  JJ --> nuts
2 0.0  JJ --> obedient
2 0.0  JJ --> owie
2 0.0  JJ --> paper
2 0.0  JJ --> part
2 0.0  JJ --> pathetic
2 0.0  JJ --> pet
2 0.0  JJ --> phony
2 0.0  JJ --> piggy
2 0.0  JJ --> police
2 0.0  JJ --> polite
2 0.0  JJ --> preppy
2 0.0  JJ --> pure
2 0.0  JJ --> pussy
2 0.0  JJ --> rambunctious
2 0.0  JJ --> rickety
2 0.0  JJ --> roast
2 0.0  JJ --> roundabout
2 0.0  JJ --> russian
2 0.0  JJ --> rusty
2 0.0  JJ --> santa_claus
2 0.0  JJ --> secret
2 0.0  JJ --> several
2 0.0  JJ --> silver
2 0.0  JJ --> simple
2 0.0  JJ --> sled
2 0.0  JJ --> so
2 0.0  JJ --> social
2 0.0  JJ --> soggy
2 0.0  JJ --> sporty
2 0.0  JJ --> station
2 0.0  JJ --> studious
2 0.0  JJ --> sudden
2 0.0  JJ --> talkative
2 0.0  JJ --> the
2 0.0  JJ --> too
2 0.0  JJ --> tremendous
2 0.0  JJ --> tropical
2 0.0  JJ --> twinkle
2 0.0  JJ --> typical
2 0.0  JJ --> uncomfortable
2 0.0  JJ --> uneven
2 0.0  JJ --> usual
2 0.0  JJ --> washable
2 0.0  JJ --> wavy
2 0.0  JJ --> wobbly
2 0.0  JJ --> worn
2 0.0  JJ --> written
2 0.0  JJ --> yay
1 0.0  JJ --> aberrant
1 0.0  JJ --> active
1 0.0  JJ --> addictive
1 0.0  JJ --> aggressive
1 0.0  JJ --> agreeable
1 0.0  JJ --> airplane
1 0.0  JJ --> alphabet
1 0.0  JJ --> antique
1 0.0  JJ --> appropriate
1 0.0  JJ --> apt
1 0.0  JJ --> aqua
1 0.0  JJ --> art
1 0.0  JJ --> artistic
1 0.0  JJ --> astronaut
1 0.0  JJ --> attractive
1 0.0  JJ --> aware
1 0.0  JJ --> away
1 0.0  JJ --> baggy
1 0.0  JJ --> baldie
1 0.0  JJ --> band
1 0.0  JJ --> bare
1 0.0  JJ --> basic
1 0.0  JJ --> beige
1 0.0  JJ --> believe
1 0.0  JJ --> bendable
1 0.0  JJ --> bitsy
1 0.0  JJ --> bitsy_bitsy
1 0.0  JJ --> bitter
1 0.0  JJ --> bitty
1 0.0  JJ --> born
1 0.0  JJ --> botanical
1 0.0  JJ --> bouncy
1 0.0  JJ --> brab
1 0.0  JJ --> brand
1 0.0  JJ --> breakfast
1 0.0  JJ --> brighter
1 0.0  JJ --> brownish
1 0.0  JJ --> built
1 0.0  JJ --> bunk
1 0.0  JJ --> bunny
1 0.0  JJ --> bushy
1 0.0  JJ --> buttery
1 0.0  JJ --> buy
1 0.0  JJ --> canadian
1 0.0  JJ --> car
1 0.0  JJ --> careless
1 0.0  JJ --> carriage
1 0.0  JJ --> center
1 0.0  JJ --> chatty
1 0.0  JJ --> cherry
1 0.0  JJ --> chilly
1 0.0  JJ --> colonial
1 0.0  JJ --> comforble
1 0.0  JJ --> constant
1 0.0  JJ --> convenient
1 0.0  JJ --> correct
1 0.0  JJ --> cotton
1 0.0  JJ --> courage
1 0.0  JJ --> cousin
1 0.0  JJ --> cow
1 0.0  JJ --> cozy
1 0.0  JJ --> creamy
1 0.0  JJ --> creative
1 0.0  JJ --> crib
1 0.0  JJ --> cross
1 0.0  JJ --> cut
1 0.0  JJ --> cutest
1 0.0  JJ --> daily
1 0.0  JJ --> damn
1 0.0  JJ --> daytime
1 0.0  JJ --> definitive
1 0.0  JJ --> delectable
1 0.0  JJ --> delightful
1 0.0  JJ --> dense
1 0.0  JJ --> dental
1 0.0  JJ --> desperate
1 0.0  JJ --> destructive
1 0.0  JJ --> devilish
1 0.0  JJ --> devious
1 0.0  JJ --> diesel
1 0.0  JJ --> diet
1 0.0  JJ --> dim
1 0.0  JJ --> dingy
1 0.0  JJ --> doggy
1 0.0  JJ --> doll
1 0.0  JJ --> drowsy
1 0.0  JJ --> drunken
1 0.0  JJ --> due
1 0.0  JJ --> dusty
1 0.0  JJ --> dutch
1 0.0  JJ --> eaten
1 0.0  JJ --> edible
1 0.0  JJ --> eighth
1 0.0  JJ --> elbow
1 0.0  JJ --> english
1 0.0  JJ --> envious
1 0.0  JJ --> epileptic
1 0.0  JJ --> ermine
1 0.0  JJ --> even
1 0.0  JJ --> expressive
1 0.0  JJ --> extension
1 0.0  JJ --> facial
1 0.0  JJ --> federal
1 0.0  JJ --> felt
1 0.0  JJ --> female
1 0.0  JJ --> fictional
1 0.0  JJ --> fidgety
1 0.0  JJ --> fierce
1 0.0  JJ --> fire
1 0.0  JJ --> firm
1 0.0  JJ --> flashy
1 0.0  JJ --> floppy
1 0.0  JJ --> foggy
1 0.0  JJ --> forceful
1 0.0  JJ --> fresher
1 0.0  JJ --> frisky
1 0.0  JJ --> froggie
1 0.0  JJ --> fruit
1 0.0  JJ --> funky
1 0.0  JJ --> gap
1 0.0  JJ --> gay
1 0.0  JJ --> general
1 0.0  JJ --> generous
1 0.0  JJ --> girl
1 0.0  JJ --> goat
1 0.0  JJ --> graceful
1 0.0  JJ --> grayish
1 0.0  JJ --> greedy
1 0.0  JJ --> gritty
1 0.0  JJ --> grown
1 0.0  JJ --> guitar
1 0.0  JJ --> gushy
1 0.0  JJ --> hairy
1 0.0  JJ --> halfway
1 0.0  JJ --> helpless
1 0.0  JJ --> hippopotamus
1 0.0  JJ --> hoarse
1 0.0  JJ --> homemade
1 0.0  JJ --> hototototototot
1 0.0  JJ --> human
1 0.0  JJ --> ideal
1 0.0  JJ --> idiotic
1 0.0  JJ --> ill
1 0.0  JJ --> impressive
1 0.0  JJ --> incomplete
1 0.0  JJ --> inconsistent
1 0.0  JJ --> indirect
1 0.0  JJ --> inky
1 0.0  JJ --> innocent
1 0.0  JJ --> inside
1 0.0  JJ --> insubstantial
1 0.0  JJ --> irish
1 0.0  JJ --> irony
1 0.0  JJ --> junky
1 0.0  JJ --> key
1 0.0  JJ --> kiddie
1 0.0  JJ --> lean
1 0.0  JJ --> legendary
1 0.0  JJ --> less
1 0.0  JJ --> lethal
1 0.0  JJ --> lifeguard
1 0.0  JJ --> like
1 0.0  JJ --> liquid
1 0.0  JJ --> lit
1 0.0  JJ --> literal
1 0.0  JJ --> longer
1 0.0  JJ --> loopy
1 0.0  JJ --> lots
1 0.0  JJ --> lumber
1 0.0  JJ --> lunch
1 0.0  JJ --> make
1 0.0  JJ --> make-believe
1 0.0  JJ --> mama
1 0.0  JJ --> mechanical
1 0.0  JJ --> messiest
1 0.0  JJ --> mighty
1 0.0  JJ --> miniature
1 0.0  JJ --> miserable
1 0.0  JJ --> misshapen
1 0.0  JJ --> missy
1 0.0  JJ --> modern
1 0.0  JJ --> mooshy
1 0.0  JJ --> morbid
1 0.0  JJ --> morning
1 0.0  JJ --> motor
1 0.0  JJ --> mucky
1 0.0  JJ --> name
1 0.0  JJ --> naptime
1 0.0  JJ --> nineteen
1 0.0  JJ --> nongrammatical
1 0.0  JJ --> nonsense
1 0.0  JJ --> north
1 0.0  JJ --> objectionable
1 0.0  JJ --> odd
1 0.0  JJ --> official
1 0.0  JJ --> onions
1 0.0  JJ --> oop
1 0.0  JJ --> opposite
1 0.0  JJ --> ornery
1 0.0  JJ --> ours
1 0.0  JJ --> outdoor
1 0.0  JJ --> overhead
1 0.0  JJ --> ow
1 0.0  JJ --> painful
1 0.0  JJ --> pantomime
1 0.0  JJ --> papa
1 0.0  JJ --> past
1 0.0  JJ --> patchwork
